Gene	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2I-11	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-01	TCGA-W5-AA2R-11	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2U-11	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2X-11	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA30-11	TCGA-W5-AA31-01	TCGA-W5-AA31-11	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-ZU-A8S4-11
YTHDF3	27.5573908703	33.134261526	31.5182653263	55.9008837706	41.3935113139	31.4062075915	19.0379699062	36.5291337104	17.4102921855	15.2576766994	11.8932523529	11.723347478	41.024528978	13.77432191	57.7082124924	19.8875768629	40.8028032536	30.6004022058	14.2492879292	51.9399221631	29.7050351347	20.9203203994	52.5266963646	21.8301649858	13.2741446159	51.4788336143	20.7255599623	31.4593954553	19.9700725945	18.6189687481	19.0890819803	22.4019809763	34.1544019401	27.240737955	16.4101926269	25.4971357582	35.0468870481	54.2979455488	48.3588301643	35.79962706	79.3287047812	59.9752694239	35.2470642198	31.649301747	14.488999951
YTHDF1	83.1252166221	57.7847765312	60.7363601943	72.9474428326	77.3046175266	68.1366986731	57.5608294135	65.9717660397	45.5032721183	46.9202910068	16.8116197243	61.8281810195	74.8031527986	19.2201583784	86.4326323471	23.5038766786	66.6538596995	54.7694259802	20.35876464	67.7405677566	88.05864923	22.6605697719	53.7586798497	74.7577419172	18.152503017	91.9881897212	19.3244085729	61.870030868	69.7505559828	18.6140669934	48.1315079635	64.3128814103	36.213136465	50.4511191353	55.9750398871	42.1844835489	77.9137760462	84.7334157232	80.7123088097	51.3311692492	85.3889974918	77.1240051268	96.7157918546	61.7907999133	17.0668980167
YTHDF2	40.770595699	32.2741964773	58.3719166429	59.6580994142	35.865926551	35.6231472413	42.195886706	36.6145491037	41.8271075818	23.1852180038	14.0082764404	32.6541990952	38.4965857419	16.6909600726	45.2536341542	23.6196836003	33.5699239706	32.2332407741	16.6121306907	36.4448367611	53.0990022921	21.3175553127	43.3110662328	44.6517329173	14.2209864941	54.9388981766	18.1831717982	46.7434431171	37.7535265203	17.3604885548	31.8279878068	72.3888366885	38.6586771832	32.0619396003	33.7863801494	28.7556616417	52.4977999054	62.1633302339	44.6667948272	39.2842527423	39.0077440348	61.1967805238	53.9129087523	62.6350177723	15.1972933983
HNRNPC	106.801862893	110.886867996	153.611719799	150.203669547	137.92498165	162.462203337	110.298674123	133.840830988	131.159451115	121.994798815	39.0165349209	212.999005133	229.70456498	43.3618678133	249.300095584	44.0533530759	138.448972265	111.743377239	51.8670810558	225.247349193	232.558681345	49.6401486365	186.55886981	120.172748998	40.9988654054	166.929959821	43.4023873952	152.653241818	117.119451198	39.5733018198	102.200830706	146.010289672	77.6538934739	158.326937473	126.970652436	96.9348399765	149.250998841	216.0532016	179.721993847	115.984269666	183.224416383	164.275378416	124.130148974	156.385309819	36.5575967146
HNRNPA2B1	179.440683089	249.332457735	267.762668664	320.664384165	304.869581413	272.458003096	175.222622267	207.984127946	232.354747626	171.722525518	77.4767627706	400.227351383	324.08802566	81.7727220205	429.311229944	95.5647891136	403.340090528	233.928451046	101.159010143	347.410721254	368.786771294	99.7865427158	314.862138388	303.528300548	84.9953451792	298.281297052	99.4813889	272.111535752	211.886327964	75.9167071246	225.479600456	234.14596828	146.751798787	249.158148504	251.167197317	182.629292724	271.482183446	364.571074922	353.621248442	276.7363813	309.890525873	362.58887062	308.365816313	298.904067637	76.9688494279
IGF2BP1	7.21667330699	0.0525014002379	0.0685438115699	4.48304377324	0.204007654756	1.03040322061	1.2274806719	0	0.231538440103	2.46521643179	0.0152690312646	0.140524452013	0	0.456198335711	0.094557651049	0	10.7008656612	2.61309216673	0.0130811865742	0.181982090366	29.5692016657	0	2.98995305346	4.71268761801	0.0176676758028	39.6860163333	0.00555789692552	1.09095514079	0.0663046958722	0.008893250179	0	2.03368029263	0.126794557881	0.147713662417	3.57333656426	0.0231711804784	14.3420255808	0.0759255080562	13.9914529355	9.19633852264	2.24864995733	0.0366494613585	2.29998566941	0.489449107895	0.0107844001403
IGF2BP2	47.2499325771	14.803722172	18.533907267	25.2948127716	5.18049326265	40.6119044309	20.7143602266	19.537134273	1.62858228059	11.633903336	0.52873091958	15.8296285813	3.61166610881	1.22239338482	1.75842616394	0.513172008266	23.1757268607	13.4967020753	0.855611820309	13.3402612068	15.1206871119	2.4413593755	19.337039257	19.8668628374	1.52947595564	31.0842152573	0.81259622285	3.79219709265	27.3391321529	0.496145693881	12.1629581073	0.467776345534	7.82583732279	47.6493915452	12.7406012835	13.5510348523	27.494636908	19.5932273423	15.4881958247	10.4351926133	15.5095178653	26.3687727295	20.7997180372	43.5818067073	0.892103344822
IGF2BP3	3.22401997498	0.449522034793	2.95884679162	22.2082796605	2.93451168761	0.174834372411	0	1.30463819032	0.100671511359	0.223795189979	0.0108945761007	2.33952418013	0.0326717104029	0.0174375624822	0.236136744756	0.0531158191262	0.203193597353	2.99100448074	0.0280005941735	0.0615058479546	1.21977273574	0.00718636550833	5.60689573637	0.514243253458	0.031515070475	2.41239616013	0.142761742953	1.06292576327	0.0551937534811	0.0475905392319	0.118714494634	3.68282082431	1.07431857435	2.40731490034	0.841081855896	0.0557982771357	0.525005093147	0.116085981652	15.5915722169	3.96236780826	0.0442165680383	0.0392245263205	4.17205580714	0.935426406964	0.0173132007186
FTO	11.3730765317	8.58085960317	12.2738952174	13.7106762932	8.88037319912	9.40136297108	8.05392001409	20.754669841	5.40822558443	6.0000948814	2.73660011915	8.99883826207	13.8783124103	3.23697859501	18.6226777548	3.92180199642	20.1046237695	16.6332710611	3.36687667984	11.9729305301	9.24006732735	3.538165797	9.10538336127	9.33043724477	3.03579078306	13.7215165839	4.17812051005	14.3069854824	4.75234262278	3.63561421582	7.33086672402	7.26949078769	3.90346459114	12.0320605797	11.6086236506	7.27442938662	14.8694533358	8.05284978431	19.6952268731	9.70392853447	11.2398286582	17.7901030969	12.168436045	14.5737118247	3.0922862455
ALKBH5	72.8984210104	73.4593338043	78.7035539023	125.902328535	55.1083767371	56.0831440086	63.9117710995	67.4623986146	106.466575755	55.545192599	40.839138168	42.6902003122	95.9076292148	43.0345649573	87.5951078835	55.7823060933	111.973581262	63.0074132321	52.0516057904	104.968752963	149.365015008	49.505727575	80.1480002406	75.6675061335	38.9976946458	46.4826216592	52.3408966917	78.2024381665	76.5112148897	39.8059578032	75.3627173982	64.1731646063	59.5287100714	59.1278889704	74.8392755938	62.4431989218	112.366775091	91.7081838778	103.658682862	80.492221631	65.9962989972	101.365946485	93.6524523047	143.405284338	35.8604310257
